nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00784134,Phase 3,31/07/2009,Actual,2,28,340,8,,,2,,10,610
NCT00796445,Phase 3,01/12/2008,Actual,,14,,,,10,20,,,2646
NCT00799903,Phase 3,01/12/2008,Actual,428,5434,732,30,,,212,,0,24820
NCT00803634,Phase 3,31/12/2008,Actual,0,0,166,0,2,,0,,0,248
NCT00820222,Phase 3,14/04/2009,Actual,,20,4,2,,2,,,,1052
NCT00824265,Phase 3,12/03/2009,Actual,8,82,16,,,2,,,,622
NCT00828854,Phase 2,01/10/2008,Actual,0,0,1,0,,,0,,0,26
NCT00831233,Phase 3,30/04/2009,Actual,0,0,2,0,,,0,,0,78
NCT00832767,Not Applicable,30/04/2009,Actual,0,10,52,0,,,0,,46,292
NCT00833248,Phase 3,30/04/2009,Actual,2,2,36,0,,,0,,0,448
NCT00835770,Phase 3,03/02/2009,Actual,,324,52,,,,,112,1796,1188
NCT00838513,Phase 2,31/07/2009,Actual,0,0,2,0,,,0,,0,18
NCT00844428,Phase 2,31/07/2009,Actual,0,0,2,0,,,0,,0,18
NCT00844545,Phase 2,31/05/2009,Actual,0,1,1,0,,,0,,0,15
NCT00844597,Phase 1/Phase 2,31/01/2009,Actual,0,2,0,0,0,,0,,0,74
NCT00844844,Phase 2,31/05/2009,Actual,0,1,1,0,,,0,,0,15
NCT00848718,Phase 1,17/03/2009,Actual,0,6,4,0,,,0,,0,144
NCT00849667,Phase 3,16/04/2009,Actual,6,494,32,8,194,,0,,78,3588
NCT00850642,Phase 2,26/06/2009,Actual,0,0,0,0,,,0,,0,14
NCT00856986,Phase 3,31/03/2009,Actual,2,28,112,2,256,,0,,32,3612
NCT00858364,Phase 3,17/07/2009,Actual,2,2234,146,2,252,,,38,,2424
NCT00863681,Phase 3,12/03/2009,Actual,,254,8,,44,,2,,,484
NCT00864851,Phase 3,29/12/2008,Actual,0,0,0,0,4,,0,,0,172
NCT00866047,Phase 2,31/03/2009,Actual,0,1,7,0,,,0,,2,48
NCT00871143,Not Applicable,30/04/2009,Actual,0,2,10,0,,,6,,0,74
NCT00875667,Phase 2,30/04/2009,Actual,0,0,0,0,,,0,,26,482
NCT00884949,Phase 1/Phase 2,30/04/2009,Actual,,,,,0,,,,0,20
NCT00887354,Phase 4,30/04/2009,Actual,0,0,0,0,,,0,,0,342
NCT00907296,Phase 2,02/09/2009,Actual,,172,16,,16,,,2,,598
NCT00909532,Phase 3,30/06/2009,Actual,,,,,0,,,,6,316
NCT00910429,Phase 3,01/07/2009,Actual,,106,16,,20,,2,,,330
NCT00910962,Phase 2,08/10/2009,Actual,6,34,26,12,,,0,,4,970
NCT00911508,Not Applicable,13/11/2009,Actual,8,168,154,4,,,16,,8,4050
NCT00917384,Phase 3,31/08/2009,Actual,,,,,120,,,,0,590
NCT00920556,Phase 2,30/03/2009,Actual,,,3,,,,,,,21
NCT00924443,Phase 2,30/06/2004,Actual,0,0,0,0,,,0,,0,66
NCT00937326,Phase 2,19/08/2009,Actual,0,2,2,0,,,0,,0,450
NCT00937950,Phase 3,05/08/2009,Actual,1,658,58,,21,4,,,50,1211
NCT00946920,Phase 3,30/06/2009,Actual,140,10,114,2,,,0,,0,1428
NCT00947882,Phase 2,31/08/2009,Actual,4,8,26,0,18,,0,,0,1556
NCT00950989,Phase 2,30/12/2009,Actual,,4,6,,80,,,,,414
NCT00963105,Phase 2,19/10/2009,Actual,,,16,,,,,2,2,188
NCT00967343,Phase 2/Phase 3,31/08/2009,Actual,1,1,2,0,,,0,,0,36
NCT00974311,Phase 3,30/09/2009,Actual,4,26,94,2,110,,0,,50,4510
NCT00977431,Phase 1,17/09/2009,Actual,0,2,0,0,,,0,,0,70
NCT00978380,Phase 3,21/09/2009,Actual,,,,,7,,,,4,52
NCT00981058,Phase 3,07/01/2010,Actual,,,,,222,,,,6,1958
NCT00982111,Phase 3,02/11/2009,Actual,0,4,34,0,186,,48,,0,2260
NCT00982878,Phase 1,30/09/2009,Actual,0,0,7,0,,,1,,0,4
NCT00986154,Phase 3,31/10/2009,Actual,0,3454,600,8,,,0,,894,11524
NCT00986440,Phase 2,31/07/2009,Actual,0,0,4,0,,,0,,2,162
NCT00988052,Phase 3,10/11/2009,Actual,,4,12,,,,,8,24,1630
NCT00988208,Phase 3,11/11/2009,Actual,16,28,92,,,,,,244,1738
NCT00989261,Phase 2,30/11/2009,Actual,0,14,20,2,20,,16,,126,1134
NCT00991029,Phase 3,28/05/2010,Actual,46,288,1932,30,580,,18,,804,15826
NCT00993655,Phase 2,11/09/2009,Actual,4,20,6,6,,,0,,6,508
NCT00994318,Phase 3,31/12/2009,Actual,0,28,28,2,,,0,,0,1168
NCT01006252,Phase 3,31/12/2009,Actual,0,30,0,0,10,,0,,346,958
NCT01006265,Phase 2,01/10/2009,Actual,2,4,24,0,4,,0,,928,894
NCT01006538,Phase 4,30/11/2009,Actual,0,0,0,0,,,0,,0,726
NCT01015703,Phase 1,30/11/2009,Actual,0,2,8,0,,,0,,0,90
NCT01020448,Phase 3,30/11/2009,Actual,0,1,7,0,,,0,,10,307
NCT01020487,Phase 3,28/02/2010,Actual,2,8,2,0,,,,4,,82
NCT01021423,Phase 3,01/04/2010,Actual,0,0,0,0,,,0,,0,18
NCT01024920,Phase 2,16/12/2009,Actual,0,0,0,0,,,0,,0,192
NCT01027949,Phase 3,16/01/2007,Actual,34,219,46,2,83,,0,,6,1398
NCT01029262,Phase 3,26/01/2010,Actual,,28,4,,,,,4,38,404
NCT01032629,Phase 3,09/12/2009,Actual,10,1590,210,12,832,,62,,436,14168
NCT01036529,Phase 4,28/02/2010,Actual,0,0,4,0,,,0,,8,38
NCT01063907,Phase 1/Phase 2,31/03/2010,Actual,0,22,8,0,,,0,,4,61
NCT01064817,Phase 2,14/06/2010,Actual,0,0,14,0,8,,0,,0,474
NCT01067521,Phase 3,22/06/2010,Actual,2,4,30,,20,,,,30,5530
NCT01076010,Phase 3,31/03/2010,Actual,0,12,0,0,18,,0,,4,1074
NCT01077154,Phase 3,02/06/2010,Actual,2,1408,288,14,494,,,76,,6736
NCT01077518,Phase 3,26/08/2010,Actual,,,,,32,,,,0,660
NCT01079806,Phase 3,30/06/2010,Actual,,,,,4,,,,218,138
NCT01080391,Phase 3,14/07/2010,Actual,2,,46,,,,8,20,,1508
NCT01081678,Phase 2,20/06/2010,Actual,,98,2,,4,,,,,560
NCT01084252,Phase 1/Phase 2,10/06/2010,Actual,6,8,40,2,,,0,,70,574
NCT01085097,Phase 2,01/09/2010,Actual,,6,16,,14,,,2,,54
